PRODUCT_ID,PRODUCT_NAME,DESCRIPTION,STANDARD_COST,LIST_PRICE,CATEGORY_ID
115,Corsair Vengeance LPX,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",565.73,699.99,5
118,Corsair Dominator Platinum,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",578.46,699.89,5
17,Corsair Vengeance LPX,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",595.42,699.01,5
117,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",617.62,695.99,5
77,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:4x16GBSize:64GB",577.25,695.99,5
78,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",517.78,686.99,5
204,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",546.64,686.99,5
7,G.Skill Ripjaws V Series,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",602.4,680.99,5
278,G.Skill Ripjaws V Series,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x8GBSize:64GB",546.05,677.99,5
137,Asus Z10PE-D16 WS,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",332.52,469.99,4
32,ASRock X99 Extreme11,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",380.55,469.99,4
31,Supermicro MBD-X10DAX,"CPU:LGA2011-3 x 2,Form Factor:EATX,RAM Slots:16,Max RAM:",385.24,443.72,4
84,Asus X99-DELUXE/U3.1,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",332.38,440.3,4
141,Supermicro X11SSL-CF,"CPU:LGA1151,Form Factor:Micro ATX,RAM Slots:4,Max RAM:64GB",317.81,419.99,4
34,Asus KGPE-D16,"CPU:G34 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:256GB",360.72,417.98,4
143,Asus Z10PE-D16,"CPU:LGA2011-3 Narrow x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:1TB",293.3,402.99,4
217,ASRock C2750D4I,"CPU:Atom C2750,Form Factor:Mini ITX,RAM Slots:4,Max RAM:64GB",339.55,401.98,4
66,Gigabyte X299 AORUS Gaming 7,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",283.91,399.99,4
275,MSI X99A GODLIKE GAMING,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",302.95,399.99,4
194,MSI X299 GAMING M7 ACK,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",278.71,397.42,4
156,Supermicro MBD-X10DRI-O,"CPU:LGA2011-3 Narrow x 2,Form Factor:EATX,RAM Slots:16,Max RAM:1TB",291.34,394.99,4
157,Asus MAXIMUS IX FORMULA,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",339.12,388.99,4
170,Asus X99-DELUXE II,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",289.33,383.98,4
171,ASRock Fatal1ty X299 Professional Gaming i9,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",287.5,382.98,4
172,ASRock EP2C612 WS,"CPU:LGA2011-3 x 2,Form Factor:SSI EEB,RAM Slots:8,Max RAM:",308.84,358.49,4
173,ASRock Z270 SuperCarrier,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",264.35,353.98,4
187,Asus MAXIMUS VIII EXTREME/ASSEMBLY,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",253.41,353.98,4
224,Asus STRIX X299-E GAMING,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",306,349.99,4
246,Gigabyte X299 AORUS Ultra Gaming,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",287.78,343.99,4
247,Asus TUF X299 MARK 1,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",241.15,339.99,4
250,Asus Z170-WS,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",279.4,338.99,4
251,MSI X299 GAMING PRO CARBON AC,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",238.8,337.81,4
287,MSI X99A XPOWER GAMING TITANIUM,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",257.23,329.99,4
288,Asus ROG STRIX X99 GAMING,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",255.86,319.99,4
179,Asus SABERTOOTH X99,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:64GB",252.57,312.67,4
226,Asus PRIME X299-A,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",274.56,309.85,4
227,Gigabyte GA-X99-UD5 WIFI,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:64GB",217.83,305,4
39,ASRock EP2C602-4L/D16,"CPU:LGA2011 x 2,Form Factor:SSI EEB,RAM Slots:16,Max RAM:512GB",225.47,301.99,4
40,MSI Z170A KRAIT GAMING 3X,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",245.4,299.89,4
41,MSI Z170 Krait Gaming,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",231.58,299.89,4
42,MSI Z170A KRAIT GAMING,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",262.4,299.89,4
43,Asus MAXIMUS IX CODE,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",266.15,298.98,4
134,Asus Sabertooth 990FX,"CPU:AM3+,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",252.31,295.72,4
140,MSI X99A WORKSTATION,"CPU:LGA2011-3,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",239.95,289.97,4
144,Intel DG43RK,"CPU:LGA775,Form Factor:Micro ATX,RAM Slots:4,Max RAM:8GB",219.69,289.79,4
145,Asus VANGUARD B85,"CPU:LGA1150,Form Factor:Micro ATX,RAM Slots:4,Max RAM:32GB",258.1,287,4
146,EVGA Z270 Classified K,"CPU:LGA1151,Form Factor:EATX,RAM Slots:4,Max RAM:64GB",234.26,283.98,4
147,EVGA Classified,"CPU:LGA2011-3,Form Factor:EATX,RAM Slots:8,Max RAM:128GB",240.62,283.98,4
148,MSI Z270 XPOWER GAMING TITANIUM,"CPU:LGA1151,Form Factor:ATX,RAM Slots:4,Max RAM:64GB",212.69,282.98,4
149,ASRock X299 Taichi,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",214.36,282.98,4
150,MSI X299 TOMAHAWK ARCTIC,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",223.92,281.98,4
151,Supermicro X10SAT-O,"CPU:LGA1150,Form Factor:ATX,RAM Slots:4,Max RAM:32GB",207.08,281.97,4
152,Gigabyte X299 AORUS Gaming 3,"CPU:LGA2066,Form Factor:ATX,RAM Slots:8,Max RAM:128GB",227.48,280.98,4
180,Supermicro MBD-X10DAL-I-O,"CPU:LGA2011-3 x 2,Form Factor:ATX,RAM Slots:8,Max RAM:512GB",239.28,279.99,4
268,Western Digital WD10EZEX,"Series:Caviar Blue,Type:7200RPM,Capacity:1TB,Cache:64MB",35.83,47.88,5
24,Seagate ST2000DM006,"Series:Barracuda,Type:7200RPM,Capacity:2TB,Cache:64MB",47.93,66.89,5
25,Samsung MZ-75E250B/AM,"Series:850 EVO-Series,Type:SSD,Capacity:250GB,Cache:N/A",87.98,104.88,5
26,Samsung MZ-75E500B/AM,"Series:850 EVO-Series,Type:SSD,Capacity:500GB,Cache:N/A",157.81,178.09,5
104,SanDisk SDSSDA-240G-G26,"Series:SSD PLUS,Type:SSD,Capacity:240GB,Cache:N/A",61.1,83.88,5
135,Samsung MZ-V6E250,"Series:960 EVO,Type:SSD,Capacity:250GB,Cache:512MB",92.98,127.88,5
284,Kingston SA400S37/120G,"Series:A400,Type:SSD,Capacity:120GB,Cache:N/A",40.63,54.99,5
285,Samsung MZ-75E1T0B/AM,"Series:850 EVO-Series,Type:SSD,Capacity:1TB,Cache:N/A",260.23,339.99,5
286,Samsung MZ-V6E500,"Series:960 EVO,Type:SSD,Capacity:500GB,Cache:512MB",209.62,234,5
22,Seagate ST3000DM008,"Series:Barracuda,Type:7200RPM,Capacity:3TB,Cache:64MB",61.63,83.61,5
23,Western Digital WDS250G1B0A,"Series:Blue,Type:SSD,Capacity:250GB,Cache:N/A",72.54,89.89,5
33,ADATA ASU800SS-128GT-C,"Series:Ultimate SU800,Type:SSD,Capacity:128GB,Cache:N/A",37.78,52.65,5
44,Seagate ST1000DM010,"Series:BarraCuda,Type:7200RPM,Capacity:1TB,Cache:64MB",42.18,49.37,5
49,Samsung MZ-75E4T0B,"Series:850 EVO,Type:SSD,Capacity:4TB,Cache:4GB",1153.64,1499.99,5
50,Intel SSDPECME040T401,"Series:DC P3608,Type:SSD,Capacity:4TB,Cache:N/A",7123.66,8867.99,5
130,Western Digital WD2003FZEX,"Series:BLACK SERIES,Type:7200RPM,Capacity:2TB,Cache:64MB",91.76,117.45,5
131,Samsung MZ-V6P512BW,"Series:960 PRO,Type:SSD,Capacity:512GB,Cache:512MB",223.99,279.99,5
139,Hitachi HUS724030ALE641,"Series:Ultrastar 7K4000,Type:7200RPM,Capacity:3TB,Cache:64MB",54.03,65.92,5
208,Samsung MZ-V6P2T0BW,"Series:960 Pro,Type:SSD,Capacity:2TB,Cache:2GB",840.11,1199.99,5
229,Seagate ST10000DM0004,"Series:BarraCuda Pro,Type:7200RPM,Capacity:10TB,Cache:256MB",284.23,399.99,5
230,ADATA ASU800SS-512GT-C,"Series:Ultimate SU800,Type:SSD,Capacity:512GB,Cache:N/A",113.29,136.69,5
231,Samsung MZ-V6E1T0,"Series:960 EVO,Type:SSD,Capacity:1TB,Cache:1000MB",358.06,449.99,5
232,Western Digital WD1003FZEX,"Series:BLACK SERIES,Type:7200RPM,Capacity:1TB,Cache:64MB",61.76,70.89,5
233,SanDisk SDSSDA-120G-G26,"Series:SSD PLUS,Type:SSD,Capacity:120GB,Cache:N/A",52.7,59.99,5
234,Crucial CT525MX300SSD1,"Series:MX300,Type:SSD,Capacity:525GB,Cache:N/A",135.59,150.99,5
235,Hitachi A7K1000-1000,"Series:Ultrastar,Type:7200RPM,Capacity:1TB,Cache:32MB",29.94,41.99,5
253,Samsung MZ-V6P1T0BW,"Series:960 Pro,Type:SSD,Capacity:1TB,Cache:1GB",466.49,579.99,5
254,Samsung MZ-7KE256BW,"Series:850 Pro Series,Type:SSD,Capacity:256GB,Cache:N/A",97.19,119.99,5
255,Seagate ST2000DX002,"Series:FireCuda,Type:Hybrid,Capacity:2TB,Cache:64MB",64.48,90.99,5
256,Western Digital WD5000AACS,"Series:Caviar Green,Type:5400RPM,Capacity:500GB,Cache:16MB",20.14,26.99,5
257,SanDisk SDSSDHII-240G-G25,"Series:Ultra II,Type:SSD,Capacity:240GB,Cache:N/A",73.39,84.95,5
258,PNY SSD7CS1311-120-RB,"Series:CS1311,Type:SSD,Capacity:120GB,Cache:N/A",50.59,57.98,5
259,PNY SSD9SC240GMDA-RB,"Series:XLR8,Type:SSD,Capacity:240GB,Cache:N/A",58.4,80.72,5
260,Crucial CT1050MX300SSD1,"Series:MX300,Type:SSD,Capacity:1.1TB,Cache:N/A",192.52,267.99,5
263,Western Digital WDS250G1B0B,"Series:Blue,Type:SSD,Capacity:250GB,Cache:N/A",70.71,89.99,5
264,Samsung MZ-75E120B/AM,"Series:850 EVO-Series,Type:SSD,Capacity:120GB,Cache:N/A",74.41,88.99,5
280,Western Digital WDS500G1B0B,"Series:Blue,Type:SSD,Capacity:500GB,Cache:N/A",106.89,149.88,5
94,Western Digital WD2500AVVS,"Series:AV-GP,Type:5400RPM,Capacity:250GB,Cache:8MB",12.63,15.55,5
99,Seagate ST1000DX002,"Series:FireCuda,Type:Hybrid,Capacity:1TB,Cache:64MB",55.41,68.06,5
100,Crucial CT275MX300SSD1,"Series:MX300,Type:SSD,Capacity:275GB,Cache:N/A",79.21,97.88,5
168,Seagate ST31000340NS - FFP,"Series:Barracuda ES,Type:7200RPM,Capacity:1TB,Cache:32MB",34.4,43.99,5
273,Western Digital WD101KRYZ,"Series:Gold,Type:7200RPM,Capacity:10TB,Cache:256MB",313.96,443.64,5
55,Crucial CT525MX300SSD4,"Series:MX300,Type:SSD,Capacity:525GB,Cache:N/A",121.92,150.99,5
56,Western Digital WD2500AAJS,"Series:Caviar Blue,Type:7200RPM,Capacity:250GB,Cache:8MB",15.23,16.99,5
57,Western Digital WD20EZRZ,"Series:Blue,Type:5400RPM,Capacity:2TB,Cache:64MB",58.01,67.34,5
95,Western Digital WDS256G1X0C,"Series:Black PCIe,Type:SSD,Capacity:256GB,Cache:N/A",85.87,109.99,5
96,SanDisk SDSSDHII-480G-G25,"Series:Ultra II,Type:SSD,Capacity:480GB,Cache:N/A",102.62,141.56,5
97,Kingston SV300S37A/120G,"Series:SSDNow V300 Series,Type:SSD,Capacity:120GB,Cache:N/A",45.93,59.87,5
228,Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",2867.51,3410.46,1
248,Intel Xeon E5-2697 V3,"Speed:2.6GHz,Cores:14,TDP:145W",2326.27,2774.98,1
249,Intel Xeon E5-2698 V3 (OEM/Tray),"Speed:2.3GHz,Cores:16,TDP:135W",2035.18,2660.72,1
2,Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",2144.4,2554.99,1
45,Intel Xeon E5-2685 V3 (OEM/Tray),"Speed:2.6GHz,Cores:12,TDP:120W",2012.11,2501.69,1
46,Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",1925.13,2431.95,1
47,Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",2101.59,2377.09,1
51,Intel Xeon E5-2695 V4,"Speed:2.1GHz,Cores:18,TDP:120W",1780.35,2269.99,1
91,Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",1793.53,2259.99,1
92,Intel Xeon E5-2643 V2 (OEM/Tray),"Speed:3.5GHz,Cores:6,TDP:130W",1940.18,2200,1
52,Intel Xeon E5-2670 V3,"Speed:2.3GHz,Cores:12,TDP:120W",1453.94,1676.98,1
165,Intel Xeon E5-2680,"Speed:2.7GHz,Cores:8,TDP:130W",1479.95,1666.61,1
212,Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",1365.13,1639.99,1
166,Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",1166.89,1638.89,1
82,Intel Core i7-6950X,"Speed:3.0GHz,Cores:10,TDP:140W",1052.92,1499.89,1
213,Intel Xeon E5-2643 V3 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",1266.37,1469.96,1
218,Intel Xeon E5-2660 V4,"Speed:2.0GHz,Cores:14,TDP:105W",1194.03,1388.89,1
219,Intel Xeon E5-2660 V3,"Speed:2.6GHz,Cores:10,TDP:105W",1041.99,1299.73,1
85,Intel Xeon E5-2660 V3 (OEM/Tray),"Speed:2.6GHz,Cores:10,TDP:105W",902.18,1274.99,1
153,Intel Xeon E5-2650 V2,"Speed:2.6GHz,Cores:8,TDP:95W",961.11,1249,1
154,Intel Xeon E5-2650 V3,"Speed:2.3GHz,Cores:10,TDP:105W",906.63,1204.98,1
209,Intel Core i7-990X Extreme Edition,"Speed:3.47GHz,Cores:6,TDP:130W",1072.79,1199.99,1
81,Intel Xeon E5-2650 V4,"Speed:2.2GHz,Cores:12,TDP:105W",945.11,1099.99,1
211,Intel Xeon E5-2650,"Speed:2.0GHz,Cores:8,TDP:95W",869.03,1064.99,1
210,Intel Core i9-7900X,"Speed:3.3GHz,Cores:10,TDP:140W",855.82,1029.99,1
54,Intel Xeon E5-1660 V3 (OEM/Tray),"Speed:3.0GHz,Cores:8,TDP:140W",914.52,1019.99,1
167,Intel Xeon E5-2650L V3 (OEM/Tray),"Speed:1.8GHz,Cores:12,TDP:65W",779.17,1010.46,1
214,Intel Core i7-5960X,"Speed:3.0GHz,Cores:8,TDP:140W",865.59,1009.79,1
53,Intel Core 2 Extreme QX6800,"Speed:2.93GHz,Cores:4,TDP:100W",787.72,1003.98,1
59,Intel Core i7-5960X (OEM/Tray),"Speed:3.0GHz,Cores:8,TDP:140W",879.8,977.99,1
176,Intel Xeon E5-2650 V3 (OEM/Tray),"Speed:2.3GHz,Cores:10,TDP:105W",799.98,939.49,1
9,Intel Xeon E5-2640 V4,"Speed:2.4GHz,Cores:10,TDP:90W",738.71,899.99,1
119,Intel Xeon E5-2640 V3,"Speed:2.6GHz,Cores:8,TDP:90W",668.24,899.99,1
120,Intel Core 2 Extreme QX9775,"Speed:3.2GHz,Cores:4,TDP:150W",737.68,892,1
16,Intel Core i7-6900K,"Speed:3.2GHz,Cores:8,TDP:140W",792.89,889.89,1
111,Intel Core i7-6900K (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",620.28,827.37,1
136,AMD Opteron 6378,"Speed:2.4GHz,Cores:16,TDP:115W",651.92,826.99,1
27,Intel Core i7-3960X Extreme Edition,"Speed:3.3GHz,Cores:6,TDP:130W",573.41,800.74,1
73,Intel Core i7-4770K,"Speed:3.5GHz,Cores:4,TDP:84W",714.15,799,1
70,Intel Xeon E5-2687W,"Speed:3.1GHz,Cores:8,TDP:150W",581.16,710.99,1
74,Intel Xeon E5-2680 V2,"Speed:2.8GHz,Cores:10,TDP:115W",567.81,701.95,1
198,Intel Core i7-980,"Speed:3.33GHz,Cores:6,TDP:130W",563.7,699.99,1
69,Intel Core i7-7820X,"Speed:3.6GHz,Cores:8,TDP:140W",511.1,678.75,1
71,Intel Core i7-3930K,"Speed:3.2GHz,Cores:6,TDP:130W",509.32,660,1
199,Intel Xeon E5-2630 V4,"Speed:2.2GHz,Cores:10,TDP:85W",528.95,647.99,1
76,Intel Xeon E5-2630 V3,"Speed:2.4GHz,Cores:8,TDP:85W",499.96,629.99,1
75,Intel Core i7-4930K,"Speed:3.4GHz,Cores:6,TDP:130W",527.69,624.04,1
200,Intel Core i7-4790K,"Speed:4.0GHz,Cores:4,TDP:88W",461.92,620.95,1
106,Intel Xeon E5-2640 V2,"Speed:2.0GHz,Cores:8,TDP:95W",545.19,608.95,1
8,Intel Xeon E5-1650 V4,"Speed:3.6GHz,Cores:6,TDP:140W",535.47,601.99,1
124,Intel Xeon E5-1650 V4 (OEM/Tray),"Speed:3.6GHz,Cores:6,TDP:140W",453.14,594.99,1
72,Intel Xeon E5-2630 V3 (OEM/Tray),"Speed:2.4GHz,Cores:8,TDP:85W",421.9,589.99,1
155,Intel Xeon E5-2630 V2,"Speed:2.6GHz,Cores:6,TDP:80W",493.48,588.95,1
80,Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",399.77,564.89,1
132,Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",481.56,554.99,1
216,MSI GTX 1080 TI LIGHTNING X,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",742.94,863.98,2
6,Zotac ZT-P10810A-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",702.35,849.99,2
108,MSI GAMING,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:1.02GHz",753.18,849.99,2
83,Asus STRIX-GTX1080TI-O11G-GAMING,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",691.13,829.99,2
215,PNY VCQP4000-PB,"Chipset:Quadro P4000,Memory:8GBCore Clock:1.23GHz",724,829.89,2
12,Gigabyte GV-N108TAORUSX W-11GD,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.63GHz",596.05,824.98,2
114,Zotac ZT-70203-10P,"Chipset:GeForce GTX 780,Memory:3GBCore Clock:1.01GHz",580.42,820.61,2
103,EVGA 11G-P4-6598-KR,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",663.54,809.99,2
86,MSI GTX 1080 TI SEA HAWK X,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",691.32,804.98,2
3,Corsair CB-9060011-WW,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",573.51,799.99,2
174,MSI GTX 1080 TI AERO 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz",715.72,798.26,2
175,NVIDIA VCQM4000-PB,"Chipset:Quadro M4000,Memory:8GBCore Clock:N/A",682.09,790,2
58,Gigabyte GV-N108TAORUS X-11GD,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.61GHz",688.35,784.98,2
270,Gigabyte GV-N1070WF2OC-8GD,"Chipset:GeForce GTX 1070,Memory:8GBCore Clock:1.56GHz",551.62,769.99,2
223,MSI GeForce GTX 1080 TI ARMOR 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.48GHz",644.19,764.98,2
90,EVGA 11G-P4-6696-KR,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.56GHz",594.46,759.99,2
220,MSI GeForce GTX 1080 Ti GAMING X 11G,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",666.59,759.99,2
221,Zotac ZT-P10810C-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.65GHz",535.03,759.99,2
269,Zotac ZT-P10810D-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.57GHz",580.1,759.99,2
87,PNY VCGGTX1080T11XGPB-OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",600.92,759.99,2
222,Zotac ZT-P10810G-10P,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.51GHz",598.25,754.98,2
88,Gigabyte GV-N98TWF3OC-6GD,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.06GHz",633.29,749.99,2
89,PNY VCGGTX780T3XPB-OC,"Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:980MHz",592.12,749.99,2
236,MSI GTX 980 Ti Gaming 6G,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.18GHz",539.98,745.32,2
237,Gigabyte GV-N108TAORUS-11GD,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.59GHz",605.3,744.98,2
238,EVGA 06G-P4-4998-KR,"Chipset:GeForce GTX 980 Ti,Memory:6GBCore Clock:1.19GHz",521.03,741.78,2
239,MSI GTX 1080 Ti DUKE 11G OC,"Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:1.53GHz",555.07,739.99,2
244,Crucial,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",1139.23,1620.99,5
261,G.Skill TridentZ RGB,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1330.26,1504.99,5
262,Corsair Dominator Platinum,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1051.97,1449.99,5
265,G.Skill Trident Z,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1163.49,1431.99,5
266,G.Skill Trident Z RGB,"Speed:DDR4-3333,Type:288-pin DIMM,CAS:16Module:8x16GBSize:128GB",1174.36,1418.99,5
279,G.Skill Ripjaws V Series,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",1139.87,1318.99,5
35,Corsair Dominator Platinum,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1131.68,1314.99,5
36,Corsair Vengeance LPX,"Speed:DDR4-3000,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",912.98,1299.99,5
37,Corsair Dominator Platinum,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1068.66,1264.99,5
38,Corsair Vengeance LPX,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1019.51,1199.99,5
65,Corsair Dominator Platinum,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",1002.47,1199.99,5
276,Corsair Vengeance LPX,"Speed:DDR4-2666,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",867.52,1163.99,5
196,Corsair Vengeance LPX,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",821.91,1099.99,5
272,G.Skill Ripjaws 4 Series,"Speed:DDR4-2800,Type:288-pin DIMM,CAS:15Module:8x16GBSize:128GB",834.06,1073.99,5
195,G.Skill Ripjaws 4 Series,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:14Module:8x16GBSize:128GB",836.03,1055.99,5
67,Kingston HyperX Beast,"Speed:DDR3-1866,Type:240-pin DIMM,CAS:10Module:8x8GBSize:64GB",708.91,863.05,5
10,Crucial,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:2x16GBSize:32GB",580.33,811.99,5
112,Corsair Vengeance Pro,"Speed:DDR3-2133,Type:240-pin DIMM,CAS:11Module:8x8GBSize:64GB",596.25,808.92,5
282,Corsair Dominator Platinum,"Speed:DDR4-3200,Type:288-pin DIMM,CAS:15Module:8x8GBSize:64GB",700.5,804.99,5
197,G.Skill Trident Z RGB,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",622.47,799.99,5
18,Crucial,"Speed:DDR4-2400,Type:288-pin DIMM,CAS:17Module:1x64GBSize:64GB",604.04,799,5
125,G.Skill Trident Z,"Speed:DDR4-3600,Type:288-pin DIMM,CAS:17Module:4x16GBSize:64GB",594.04,768.99,5
68,Crucial,"Speed:DDR4-2133,Type:288-pin DIMM,CAS:15Module:4x16GBSize:64GB",590.13,766.11,5
